x_src,y_src,x_ref,y_ref,confidence,is_inlier
184.0000,432.0000,183.9561,431.9801,1.0000,1
320.0000,144.0000,319.9741,144.0508,1.0000,1
656.0000,64.0000,656.0478,63.9474,1.0000,1
224.0000,16.0000,223.9946,16.0238,1.0000,1
592.0000,264.0000,591.9784,264.0304,1.0000,1
48.0000,216.0000,48.0336,215.9927,1.0000,1
912.0000,128.0000,912.0103,128.0003,1.0000,1
488.0000,424.0000,488.0119,423.9786,1.0000,1
768.0000,112.0000,767.9953,111.9683,1.0000,1
56.0000,72.0000,56.0108,71.9410,1.0000,1
968.0000,80.0000,967.9916,79.9872,1.0000,1
592.0000,232.0000,591.9796,232.0168,1.0000,1
920.0000,376.0000,919.9717,375.9851,1.0000,1
200.0000,448.0000,199.9791,448.0316,1.0000,1
280.0000,88.0000,280.0293,88.0176,1.0000,1
208.0000,280.0000,207.9727,279.9695,1.0000,1
336.0000,400.0000,336.0008,399.9958,1.0000,1
496.0000,480.0000,495.9614,480.0219,1.0000,1
424.0000,240.0000,423.9955,239.9708,1.0000,1
592.0000,344.0000,591.9986,344.0336,1.0000,1
592.0000,144.0000,592.0160,144.0231,1.0000,1
680.0000,384.0000,679.9651,383.9736,1.0000,1
696.0000,104.0000,695.9871,103.9846,1.0000,1
872.0000,496.0000,872.0114,496.0167,1.0000,1
40.0000,96.0000,39.9917,95.9805,1.0000,1
632.0000,240.0000,632.0140,240.0213,1.0000,1
312.0000,168.0000,311.9982,168.0352,1.0000,1
712.0000,64.0000,712.0157,63.9978,1.0000,1
888.0000,392.0000,888.0183,391.9884,1.0000,1
640.0000,416.0000,640.0034,416.0449,1.0000,1
392.0000,200.0000,391.9865,200.0049,1.0000,1
944.0000,120.0000,944.0374,120.0107,1.0000,1
288.0000,360.0000,288.0304,359.9504,1.0000,1
184.0000,520.0000,183.9376,519.9257,1.0000,1
264.0000,328.0000,264.0065,327.9454,1.0000,1
240.0000,264.0000,240.0023,263.9890,1.0000,1
40.0000,232.0000,39.9920,232.0249,1.0000,1
528.0000,304.0000,528.0264,304.0061,1.0000,1
944.0000,80.0000,943.9931,80.0021,1.0000,1
864.0000,432.0000,863.9537,431.9438,1.0000,1
816.0000,440.0000,815.9975,440.0238,1.0000,1
968.0000,160.0000,968.0290,159.9790,1.0000,1
216.0000,392.0000,216.0016,391.9755,1.0000,1
520.0000,360.0000,520.0707,360.0905,1.0000,1
648.0000,344.0000,647.9677,344.0763,1.0000,1
264.0000,296.0000,264.0833,295.9975,1.0000,1
392.0000,328.0000,392.0104,328.0214,1.0000,1
432.0000,184.0000,431.9894,183.9874,1.0000,1
840.0000,136.0000,839.9910,136.0217,1.0000,1
576.0000,336.0000,576.0811,335.8942,1.0000,1
624.0000,392.0000,624.0013,391.9966,1.0000,1
624.0000,16.0000,624.0070,15.9485,1.0000,1
272.0000,168.0000,272.0077,167.9973,1.0000,1
1000.0000,400.0000,1000.0244,399.9957,1.0000,1
592.0000,408.0000,592.0311,407.9917,1.0000,1
560.0000,136.0000,560.0776,136.0160,1.0000,1
632.0000,80.0000,631.8955,79.9983,1.0000,1
912.0000,232.0000,912.0089,231.9944,1.0000,1
648.0000,208.0000,648.0228,207.9749,1.0000,1
288.0000,48.0000,287.9830,47.9812,1.0000,1
